type,name,name_en,iata,lat,lon,osm_id
Airport,库车龟兹机场 كۇچار ئايرودرومى,Kuqa Qiuci Airport,KCA,41.679189,82.8716747,way/183939727
Airport,布尔津喀纳斯机场 بۋىرشىن قاناس اۋەجايى,Burqin Kanas Airport,KJI,48.2219336,86.9959018,way/183940000
Airport,淮安涟水国际机场,Lianshui International Airport,HIA,33.7918832,119.1259037,way/183940274
Airport,玉树巴塘机场,Yushu Batang Airport,YUS,32.836422,97.0360692,way/184551617
Airport,黄山屯溪国际机场,Huangshan Tunxi International Airport,TXN,29.733299,118.2564637,way/184879660
Airport,吐鲁番交河机场 تۇرپان يارغول ئايرودورومى,Turpan Jiaohe Airport,TLQ,43.0292143,89.0982735,way/184991908
Airport,广汉机场,Guanghan Airport,GHN,30.9483689,104.3299382,way/199987432
Airport,佳木斯松江国际机场,Jiamusi Airport,JMU,46.8431492,130.4600704,way/206785539
Airport,鄯善机场 پىچان ئايرودرومى,Shanshan Airport,SXJ,42.911696,90.2460283,way/207173568
Airport,漠河古莲机场,Mohe Gulian Airport,OHE,52.9132534,122.4293567,way/209316707
Airport,大庆萨尔图机场,Daqing Sartu Airport,DQA,46.7516737,125.1383333,way/219754259
Airport,金昌金川机场,Jinchang Jinchuan Airport,JIC,38.5410444,102.3506277,way/221348246
Airport,哈尔滨太平国际机场,Harbin Taiping International Airport,HRB,45.6057108,126.2356573,way/221954233
Airport,运城盐湖国际机场,Yuncheng Yanhu International Airport Airport,YCU,35.1177639,111.0335525,way/222283805
Airport,井冈山机场,Jing Gang Shan Airport,JGS,26.8572722,114.7365761,way/222440311
Airport,汉中城固机场,Hanzhong Chenggu Airport,HZG,33.1318919,107.2021278,way/224648459
Airport,黑河瑷珲机场,Heihe Aihui Airport,HEK,50.1720641,127.3092113,way/225605836
Airport,抚远东极机场,Fuyuan Dongji Airport,FYJ,48.1986775,134.3659767,way/225696033
Airport,南通兴东国际机场,Nantong Xingdong International Airport,NTG,32.0720196,120.9783185,way/225885023
Airport,武汉天河国际机场,Wuhan Tianhe International Airport,WUH,30.775834,114.2181778,way/233511368
Airport,扬州泰州机场,Yangzhou Taizhou Airport,YTY,32.5607087,119.7176387,way/235940514
Airport,甘南夏河机场 ཀན་ལྷོ་བསང་ཆུ་ནམ་གྲུ་ཐང་།,Gannan Xiahe Airport,GXH,34.8189504,102.6217031,way/238867672
Airport,天水麦积山机场,Tianshui Maijishan Airport,THQ,34.5593479,105.8596666,way/238871411
Airport,南充高坪机场,Nanchong Gaoping Airport,NAO,30.79715,106.1639115,way/238875512
